drug_id,drug_name,atc_code
CID100002159,Amisulpride,N05AL05
CID100002160,Amitriptyline,N06AA09
CID100002161,Amlexanox,A01AD07
CID100002161,Amlexanox,R03DX01
CID100002162,Amlodipine,C08CA01
CID100002163,Amobarbital,N05CA02
CID100002168,Amorolfine,D01AE16
CID100002170,Amoxapine,N06AA17
CID100002171,Amoxicillin,J01CA04
CID100002173,Ampicillin,J01CA01
CID100002173,Ampicillin,S01AA19
CID100002177,Amprenavir,J05AE05
CID100002179,Amsacrine,L01XX01
CID100002182,Anagrelide,L01XX35
CID100002187,Anastrozole,L02BG03
CID100002215,Apomorphine,G04BE07
CID100002215,Apomorphine,N04BC07
CID100002216,Apraclonidine,S01EA03
CID100002232,Argatroban,B01AE03
CID100002244,Aspirin,A01AD05
CID100002244,Aspirin,B01AC06
CID100002244,Aspirin,N02BA01
CID100002249,Atenolol,C07AB03
CID100002249,Atenolol,C07AB11
CID100002250,Atorvastatin,C10AA05
CID100002265,Azathioprine,L04AX01
CID100002266,Azelaic,D10AX03
CID100002267,Azelastine,R01AC03
CID100002267,Azelastine,R06AX19
CID100002267,Azelastine,S01GX07
CID100002269,Azithromycin,J01FA10
CID100002269,Azithromycin,S01AA26
CID100002274,Aztreonam,J01DF01
CID100002284,Baclofen,M03BX01
CID100002307,Beclomethasone,A07EA07
CID100002307,Beclomethasone,D07AC15
CID100002307,Beclomethasone,R01AD01
CID100002307,Beclomethasone,R03BA01
CID100002308,Beclomethasone,
CID100002311,Benazepril,C09AA07
CID100002315,Bendrofluazide,C03AA01
CID100002337,Benzocaine,C05AD03
CID100002337,Benzocaine,D04AB04
CID100002337,Benzocaine,N01BA05
CID100002337,Benzocaine,R02AD01
CID100002341,Benzphetamine,
CID100002344,Benztropine,N04AC01
CID100002345,Benzyl,P03AX01
CID100002349,Penicillin,J01CE01
CID100002349,Penicillin,S01AA14
CID100002350,Bepotastine,
CID100002351,Bepridil,C08EA02
CID100002366,Betahistine,N07CA01
CID100002367,Dexamethasone,
CID100002369,Betaxolol,C07AB05
CID100002369,Betaxolol,S01ED02
CID100002370,Bethanechol,N07AB02
CID100002375,Bicalutamide,L02BB03
CID100002391,Bisacodyl,A06AB02
CID100002391,Bisacodyl,A06AG02
CID100002405,Bisoprolol,C07AB07
CID100002431,Bretylium,C01BD02
CID100002435,Brimonidine,S01EA05
CID100002441,Bromazepam,N05BA08
CID100002442,Bromhexine,R05CB02
CID100002443,Bromocriptine,G02CB01
CID100002443,Bromocriptine,N04BC01
CID100002462,Budesonide,A07EA06
CID100002462,Budesonide,D07AC09
CID100002462,Budesonide,R01AD05
CID100002462,Budesonide,R03BA02
CID100002471,Bumetanide,C03CA02
CID100002474,Bupivacaine,N01BB01
CID100002474,Bupivacaine,N01BB10
CID100002476,Buprenorphine,N02AE01
CID100002476,Buprenorphine,N07BC01
CID100002477,Buspirone,N05BE01
CID100002478,Busulfan,L01AB01
CID100002479,Butabarbital,
CID100002484,Butenafine,D01AE23
CID100002487,Butorphanol,N02AF01
CID100002512,Cabergoline,G02CB03
CID100002512,Cabergoline,N04BC06
CID100002519,Caffeine,N06BC01
CID100002520,Verapamil,C08DA01
CID100002522,Calcipotriol,D05AX02
CID100002524,"1,25(Oh)2D3",A11CC04
CID100002524,"1,25(Oh)2D3",D05AX03
CID100002540,Candesartan,
CID100002541,Candesartan,C09CA06
CID100002547,Capreomycin,J04AB30
CID100002548,Capsaicin,M02AB01
CID100002548,Capsaicin,M02AB02
CID100002548,Capsaicin,N01BX04
CID100002550,Captopril,C09AA01
CID100002551,Carbachol,N07AB01
CID100002551,Carbachol,S01EB02
CID100002554,Carbamazepine,N03AF01
CID100002559,Carbenicillin,J01CA03
CID100002563,Carbidopa,
CID100002564,Carbinoxamine,R06AA08
CID100002576,Carisoprodol,M03BA02
CID100002578,Bcnu,L01AD01
CID100002583,Carteolol,C07AA15
CID100002583,Carteolol,S01ED05
CID100002585,Carvedilol,C07AG02
CID100002609,Cefaclor,J01DC04
CID100002610,Cefadroxil,J01DB05
CID100002617,Cefazolin,J01DB04
CID100002622,Cefepime,J01DE01
CID100002631,Cefotaxime,J01DD01
CID100002637,Cefoxitin,J01DC01
CID100002646,Cefprozil,J01DC10
CID100002650,Ceftazidime,J01DD02
CID100002654,Cephem,J01DD14
CID100002655,Ceftizoxime,J01DD07
CID100002656,Ceftriaxone,J01DD04
CID100002658,Cefuroxime,J01DC02
CID100002662,Celecoxib,L01XX33
CID100002662,Celecoxib,M01AH01
CID100002663,Celiprolol,C07AB08
CID100002666,Cephalexin,J01DB01
CID100002675,Cefixime,J01DD08
CID100002676,Cerivastatin,C10AA06
CID100002678,Cetirizine,R06AE07
CID100002678,Cetirizine,R06AE09
CID100002684,Cevimeline,N07AX03
CID100002708,Chlorambucil,L01AA02
CID100002712,Chlordiazepoxide,N05BA02
CID100002713,Chlorhexidine,A01AB03
CID100002713,Chlorhexidine,B05CA02
CID100002713,Chlorhexidine,D08AC02
CID100002713,Chlorhexidine,D09AA12
CID100002713,Chlorhexidine,R02AA05
CID100002713,Chlorhexidine,S01AX09
CID100002713,Chlorhexidine,S02AA09
CID100002713,Chlorhexidine,S03AA04
CID100002719,Chloroquine,N06DX02
CID100002719,Chloroquine,P01BA01
CID100002720,Thiazide,C03AA04
CID100002725,Chlorpheniramine,R06AB02
CID100002725,Chlorpheniramine,R06AB04
CID100002726,Chlorpromazine,N05AA01
CID100002727,Chlorpropamide,A10BB02
CID100002732,Chlorthalidone,C03BA04
CID100002733,Chlorzoxazone,M03BB03
CID100002749,Ciclopirox,D01AE14
CID100002749,Ciclopirox,G01AX12
CID100002751,Cilazapril,C09AA08
CID100002754,Cilostazol,
CID100002756,Cimetidine,A02BA01
CID100002762,Cinoxacin,J01MB06
CID100002764,Ciprofloxacin,J01MA02
CID100002764,Ciprofloxacin,S01AX13
CID100002764,Ciprofloxacin,S02AA15
CID100002764,Ciprofloxacin,S03AA07
CID100002767,Cisplatin,L01XA01
CID100002771,Citalopram,N06AB04
CID100002771,Citalopram,N06AB10
CID100002781,Clemastine,D04AA14
CID100002781,Clemastine,R06AA04
CID100002786,Clindamycin,D10AF01
CID100002786,Clindamycin,G01AA10
CID100002786,Clindamycin,J01FF01
CID100002789,Clobazam,N05BA09
CID100002791,Clobetasol,
CID100002792,Clobetasone,D07AB01
CID100002792,Clobetasone,S01BA09
CID100002794,Clofazimine,J04BA01
CID100002800,Clomiphene,G03GB02
CID100002801,Clomipramine,N06AA04
CID100002802,Clonazepam,N03AE01
CID100002803,Clonidine,C02AC01
CID100002803,Clonidine,N02CX02
CID100002803,Clonidine,S01EA04
