drug_name,gene,level_of_evidence
Allopurinol,HLA-C,2B
Methotrexate,ATIC,2B
Nevirapine,HLA-DRB1,2B
Platinum Compounds,XRCC1,2B
Erlotinib,EGFR,2B
Nicotine,CHRNA5,2B
Nevirapine,HLA-C,2B
Ethanol,ALDH2,2B
Aspirin,HLA-DPB1,2B
Atorvastatin,APOE,2B
"Peginterferon Alfa-2B,Ribavirin",ITPA,2B
Hydrochlorothiazide,ADD1,2B
Gefitinib,EGFR,2B
Rituximab,FCGR3A,2B
Hormonal Contraceptives For Systemic Use,F2,2B
Sulfamethoxazole / Trimethoprim,HLA-C,2B
Allopurinol,HLA-A,2B
"Anthracyclines And Related Substances,Daunorubicin,Doxorubicin",SLC28A3,2B
Hormonal Contraceptives For Systemic Use,F5,2B
Etanercept,TNF,2B
Etoposide,,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,CSRP3,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,ARAP2,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,CST5,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,MAFB,3
Mephenytoin,CYP2C19,3
Diuretics,ADD1,3
Clozapine,DRD3,3
Valproic Acid,"UGT1A10,UGT1A6,UGT1A7,UGT1A8,UGT1A9",3
Methotrexate,SLC19A1,3
Aspirin,PTGS2,3
Phenytoin,ABCB1,3
"Dexamethasone,Doxorubicin,Vincristine",ABCB1,3
Dicloxacillin,ABCB1,3
Capecitabine,ABCB1,3
Tenofovir,ABCC2,3
"Cisplatin,Cyclophosphamide",ERCC1,3
"Cisplatin,Cyclophosphamide",GSTP1,3
"Fluorouracil,Leucovorin,Oxaliplatin",ERCC2,3
Doxorubicin,ABCB1,3
Digoxin,ABCB1,3
"Ace Inhibitors, Plain",PTGER3,3
"Antivirals For Treatment Of Hiv Infections, Combinations,Ritonavir",APOE,3
Docetaxel,SLCO1B3,3
"Ace Inhibitors, Plain",MME,3
Tamoxifen,ESR2,3
"Ace Inhibitors, Plain",BDKRB2,3
Warfarin,STX4,3
Trastuzumab,ERBB2,3
Warfarin,VKORC1,3
Paclitaxel,ABCB1,3
Nevirapine,HLA-C,3
Fluvastatin,SLCO1B1,3
Troglitazone,,3
Tamoxifen,ESR1,3
Methotrexate,,3
"Antidepressants,Mirtazapine,Venlafaxine",TPH2,3
Methotrexate,"ADORA2A,SPECC1L",3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,MOB3B,3
"Platinum Compounds,Taxanes",ABCB1,3
Topoisomerase I Inhibitors,EGFR,3
Geldanamycin,EGFR,3
Methamphetamine,DTNBP1,3
Montelukast,ALOX5,3
Montelukast,LTA4H,3
"Olanzapine,Risperidone",HTR2A,3
Olanzapine,ADRB3,3
"Olanzapine,Perphenazine",RGS4,3
Risperidone,RGS4,3
Olanzapine,LEP,3
Cetuximab,CCND1,3
Clozapine,DTNBP1,3
Cyclosporine,ABCB1,3
Risperidone,ABCB1,3
Amiodarone,KCNH2,3
Methotrexate,GGH,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,C9ORF72,3
Doxorubicin,CBR3,3
Daunorubicin,NRP2,3
Paclitaxel,CYP3A4,3
"Antipsychotics,Olanzapine,Perphenazine,Quetiapine,Ziprasidone",RGS4,3
Propofol,UGT1A9,3
"Prednisone,Tacrolimus",ABCB1,3
Carbamazepine,"BAG6,PRRC2A",3
Erlotinib,EGFR,3
Rofecoxib,PTGS2,3
Sildenafil,ACE,3
Acenocoumarol,CYP2C9,3
"Amlodipine,Chlorthalidone",NPPA,3
Beta Blocking Agents,PPARA,3
Tumor Necrosis Factor Alpha (Tnf-Alpha) Inhibitors,GBP6,3
Anthracyclines And Related Substances,CAT,3
Repaglinide,SLCO1B1,3
