gene,type,level_of_evidence
"RPL13,SNORD68,SPG7",Toxicity,3
PRDX4,Dosage,3
EPHX1,Dosage,3
XRCC4,Dosage,3
ADM,Efficacy,3
VDR,Efficacy,3
ADORA2A,Toxicity,3
EGFR,Toxicity,3
GLCCI1,Efficacy,3
"KCNIP1,KCNMB1",Efficacy,3
ESR1,Efficacy,3
CACNA1C,Efficacy,3
GRK4,Efficacy,3
ABCC10,Toxicity,3
IDO1,Toxicity,3
HLA-DQA1,Efficacy,3
AGT,Toxicity,3
HLA-DQB1,Toxicity,3
CYP2A6,Other,3
COMT,Toxicity,3
CYP2B6,Dosage,3
COMT,Other,3
CYP3A4,Other,3
COQ2,Toxicity,3
RYR2,Toxicity,3
SHMT1,Toxicity,3
KCNH2,Efficacy,3
CYP2C8,Dosage,3
GABRQ,Efficacy,3
CYP2D6,Efficacy,3
GSK3B,Efficacy,3
CACNG2,Efficacy,3
FKBP5,Efficacy,3
FDPS,Toxicity,3
GABRA6,Efficacy,3
GABRP,Efficacy,3
GRIA3,Efficacy,3
GAL,Efficacy,3
BDNF,Toxicity,3
P2RY12,Efficacy,3
CRY1,Efficacy,3
DRD1,Efficacy,3
"OR52J2P,OR52J3",Efficacy,3
GSTM3,Toxicity,3
IL12A,Toxicity,3
IL4R,Efficacy,3
BDNF,Dosage,3
"NR1D1,THRA",Efficacy,3
IMPDH1,Efficacy,3
NTRK2,Dosage,3
"G6PD,IKBKG",Toxicity,3
IMPDH1,Toxicity,3
ANKK1,Dosage,3
DRD2,Dosage,3
NGF,Dosage,3
TPH1,Efficacy,3
CDA,Efficacy,3
CDA,Toxicity,3
CHRNA4,Other,3
ADRB1,Toxicity,3
GNB3,Toxicity,3
HTR2A,Toxicity,3
SLC14A2,Efficacy,3
CYP1A2,Efficacy,3
ANKK1,Toxicity,3
GNB3,Efficacy,3
ABCC3,Efficacy,3
CYP1A2,"Dosage,Toxicity",3
CYP2C19,Efficacy,3
WNT5B,Other,3
NEUROD1,Efficacy,3
PAX4,Efficacy,3
ADRA2C,Efficacy,3
GCLC,Toxicity,3
LDLR,Efficacy,3
CYP2C9,Other,3
CYP2C9,Efficacy,3
REN,Toxicity,3
EDN1,Toxicity,3
P2RY1,Efficacy,3
FSIP1,Toxicity,3
CEP68,Toxicity,3
PPARG,Toxicity,3
IL4,Toxicity,3
ADORA1,Toxicity,3
GP6,Efficacy,3
FCER1G,Toxicity,3
IL1B,Toxicity,3
TBXA2R,Toxicity,3
ITGA2,Efficacy,3
NTRK1,Efficacy,3
HNMT,Toxicity,3
VEGFA,Toxicity,3
ABCC2,Other,3
ZNF423,Efficacy,3
F13A1,Efficacy,3
CYP2B6,Efficacy,3
MC1R,Efficacy,3
GRIK4,Efficacy,3
KCNJ1,Toxicity,3
CRHR1,Efficacy,3
IL10,Efficacy,3
SLCO1B3,Other,3
CETP,Efficacy,3
FMO1,Other,3
FMO3,Other,3
ERCC1,Efficacy,3
XRCC5,Efficacy,3
"PRSS53,VKORC1",Dosage,3
GSTT1,Toxicity,3
SREBF1,Efficacy,3
SCAP,Efficacy,3
UGT1A4,Other,3
TLR4,Efficacy,3
TLR4,Toxicity,3
AGTR1,"Efficacy,Toxicity",3
ABO,Toxicity,3
OPRM1,Efficacy,3
OPRM1,Other,3
CYP2D6,Toxicity,3
RGS2,Toxicity,3
NR1H3,Toxicity,3
UGT1A3,Efficacy,3
AOX1,Efficacy,3
SHMT1,Efficacy,3
CTLA4,Toxicity,3
MTTP,Efficacy,3
UST,Efficacy,3
UGT2B7,Other,3
ABCC4,Other,3
AGTR1,Efficacy,3
DCAF4,Efficacy,3
CYP2E1,Efficacy,3
CYP2E1,"Efficacy,Toxicity",3
HTR3A,Efficacy,3
PRKCB,Other,3
ADRA2A,Other,3
DRD2,Efficacy,3
ANKK1,Efficacy,3
PDE4D,Efficacy,3
ABCC2,Efficacy,3
MTRR,Efficacy,3
CYP2B6,Other,3
ABCG8,Efficacy,3
POR,Other,3
CYP3A5,"Efficacy,Toxicity",3
MAD1L1,Efficacy,3
CYP3A4,Efficacy,3
CYBA,Other,3
SLC6A5,Toxicity,3
HMGCR,Efficacy,3
MTHFR,Efficacy,3
CXCL5,Efficacy,3
TNF,Other,3
F3,Efficacy,3
ABCA1,Efficacy,3
NPC1L1,Efficacy,3
SCARB1,Efficacy,3
HMGCR,Other,3
LPL,Efficacy,3
APOA1,Efficacy,3
CASP7,Efficacy,3
EDN1,Efficacy,3
AGT,Efficacy,3
SLCO1B1,Toxicity,3
CRP,Efficacy,3
SACM1L,Toxicity,3
GABRA1,Efficacy,3
KCNQ1,Efficacy,3
ABCG2,Toxicity,3
ACE2,Efficacy,3
MTR,Efficacy,3
ADRB1,Efficacy,3
F12,Efficacy,3
ADRA2A,Efficacy,3
RHBDF2,Efficacy,3
