gene,type,level_of_evidence
RGS5,Efficacy,3
SLC28A2,Toxicity,3
CYP1B1,Toxicity,3
IL18,Efficacy,3
PACSIN2,Toxicity,3
IL6,Toxicity,3
GALNT14,Efficacy,3
FOLH1,Toxicity,3
FGFR4,Efficacy,3
CHRNA3,Other,3
KCNJ6,Other,3
KCNJ6,Efficacy,3
NOS1AP,Efficacy,3
CHRNA5,Other,3
IGF2BP2,Efficacy,3
SLC6A3,Efficacy,3
"CREB1,METTL21A","Efficacy,Toxicity",3
CBR1,Metabolism/PK,3
CBR1,"Dosage,Metabolism/PK",3
"HSPA1A,HSPA1L",Toxicity,3
ESR2,Efficacy,3
CAPN10,Toxicity,3
FDPS,Efficacy,3
MVK,Efficacy,3
ZNF697,Efficacy,3
TUBB1,Other,3
ZBTB22,Toxicity,3
CXCL10,Efficacy,3
FNTB,Efficacy,3
CHRNB4,Metabolism/PK,3
UGT1A3,Toxicity,3
DOK5,Toxicity,3
BMP7,Toxicity,3
LINC00251,Toxicity,3
HNF4A,Metabolism/PK,3
EIF3A,Toxicity,3
RAPGEF5,Efficacy,3
CRH,Efficacy,3
PARP11,Efficacy,3
NBEA,Efficacy,3
GSTM1,Metabolism/PK,3
PMCH,Toxicity,3
INSIG2,Toxicity,3
VDR,Metabolism/PK,3
GRIA1,Toxicity,3
HCG22,Toxicity,3
TGFB1,Toxicity,3
OCRL,Toxicity,3
ITPA,Toxicity,3
IL1A,Efficacy,3
LTC4S,Efficacy,3
UGT1A6,Dosage,3
"LTA,TNF",Toxicity,3
DHODH,Efficacy,3
HSPA1L,Toxicity,3
ARG1,Efficacy,3
GSTA1,Toxicity,3
UBE2I,Efficacy,3
"LST1,LTA,LTB",Toxicity,3
PTGFR,Efficacy,3
CD69,Efficacy,3
GALNT18,Efficacy,3
"CSNK2A3,GALNT18",Efficacy,3
RARS1,Efficacy,3
CYCSP5,Toxicity,3
ITIH3,Efficacy,3
"ADORA2A,ADORA2A-AS1",Toxicity,3
HIF1A,Efficacy,3
ADCY9,"Efficacy,Toxicity",3
GNMT,Toxicity,3
SLC2A2,Efficacy,3
IL16,Toxicity,3
POR,Dosage,3
DDHD1,Dosage,3
NEDD4,Dosage,3
ASPH,Efficacy,3
KDR,Toxicity,3
UGT1A8,Efficacy,3
B4GALT2,Efficacy,3
CYP4F2,Efficacy,3
GGCX,Efficacy,3
ADRB2,Dosage,3
CYP3A4,"Toxicity,Metabolism/PK",3
IFNL4,Efficacy,3
LGALS3,Toxicity,3
CD84,Efficacy,3
IL12B,Efficacy,3
CUX2,Toxicity,3
RIPOR2,Toxicity,3
AGBL4,Toxicity,3
KLRD1,Efficacy,3
KLRC1,Efficacy,3
CYP3A5,"Dosage,Metabolism/PK",3
STX1B,Dosage,3
CYP1A1,Dosage,3
DNMT3A,Dosage,3
TGFBR2,Toxicity,3
PRORP,Efficacy,3
SLC12A8,Toxicity,3
FBXL19,Toxicity,3
HLA-DRB1,Efficacy,3
NTRK2,Toxicity,3
GRIK3,Toxicity,3
SLC18A2,Toxicity,3
"UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9",Dosage,3
AOX1,Dosage,3
CXCR4,Efficacy,3
PGLYRP4,Efficacy,3
CTNNA2,Efficacy,3
ZNF816,Efficacy,3
IL17RA,Efficacy,3
IL6R,Efficacy,3
FOXP3,Toxicity,3
ABCC1,Metabolism/PK,3
IL10,Metabolism/PK,3
VASP,Efficacy,3
STX1B,Efficacy,3
SLC26A9,Efficacy,3
HTR1B,Efficacy,3
PLEKHH2,Toxicity,3
DPYS,Toxicity,3
CES1P1,Toxicity,3
CYP2R1,Efficacy,3
IL18,Metabolism/PK,3
C3,Toxicity,3
"UGT1A10,UGT1A7,UGT1A8,UGT1A9",Efficacy,3
CLNK,Efficacy,3
ANKS1B,Efficacy,3
FMO3,Metabolism/PK,3
CTLA4,Metabolism/PK,3
IL3,Metabolism/PK,3
SLC31A1,Toxicity,3
FOXP3,Efficacy,3
UMPS,Toxicity,3
SLC22A7,Toxicity,3
TBXA2R,"Efficacy,Toxicity",3
PIGB,Toxicity,3
CD33,Efficacy,3
CYP4F2,Dosage,3
CYP4F11,Dosage,3
NUDT15,"Dosage,Toxicity",3
PIK3R1,Toxicity,3
C6,Metabolism/PK,3
CYP2C9,"Dosage,Metabolism/PK",3
SLC22A16,Toxicity,3
F11,Toxicity,3
KNG1,Toxicity,3
SUGCT,Toxicity,3
SLC6A3,Toxicity,3
CDH2,Efficacy,3
STAT4,Efficacy,3
PSORS1C1,Efficacy,3
FOXF2,Toxicity,3
EHMT2,Toxicity,3
BACH1,Toxicity,3
XPO1,Toxicity,3
MAFK,Toxicity,3
ABCB1,"Efficacy,Toxicity,Metabolism/PK",3
CES1,Efficacy,3
"UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9",Metabolism/PK,3
UGT2B7,Efficacy,3
"ERCC2,KLC3",Efficacy,3
"CYP3A5,ZSCAN25",Metabolism/PK,3
VKORC1L1,Dosage,3
SH2B1,Toxicity,3
RABEP1,Other,3
NR1I2,"Toxicity,Metabolism/PK",3
EPHX2,Efficacy,3
GRAMD1B,Efficacy,3
MYO1H,Efficacy,3
FAM178B,Efficacy,3
ADCY1,Efficacy,3
FAM177A1,Efficacy,3
XPC,Toxicity,3
SLC47A1,Efficacy,3
SLC47A2,Efficacy,3
SLCO1B3,Efficacy,3
BCHE,Other,3
TIRAP,Efficacy,3
TLR5,Efficacy,3
LY96,Efficacy,3
XRCC4,Efficacy,3
CHRNA5,"Efficacy,Toxicity",3
TYMP,Toxicity,3
ABCG2,"Efficacy,Metabolism/PK",3
GSTP1,Toxicity,3
"TMEM167A,XRCC4",Efficacy,3
KDR,"Efficacy,Metabolism/PK",3
UGT1A3,"Efficacy,Metabolism/PK",3
DBH,Toxicity,3
XRCC3,Efficacy,3
NOTCH4,Toxicity,3
BCL2L11,Toxicity,3
GATA4,Dosage,3
VDR,Dosage,3
CDK4,Other,3
CYBA,Toxicity,3
CYBA,"Efficacy,Toxicity",3
NCF4,Toxicity,3
RAC2,Toxicity,3
NCF4,Efficacy,3
RAC2,Efficacy,3
SLC22A5,Toxicity,3
SLC6A2,Other,3
KRAS,Efficacy,3
SUMO4,Metabolism/PK,3
ABCB1,"Efficacy,Metabolism/PK",3
RYR1,Other,3
TLR4,Other,3
PSORS1C1,Toxicity,3
DHFR,"Efficacy,Toxicity",3
AMHR2,"Efficacy,Metabolism/PK",3
"OPRL1,RGS19",Toxicity,3
"LKAAEAR1,OPRL1",Toxicity,3
PEBP4,Efficacy,3
ZDHHC7,Efficacy,3
ZNF134,Efficacy,3
ARSA,Efficacy,3
SPSB2,Efficacy,3
ZNF211,Efficacy,3
CORO7,Efficacy,3
FXR2,Efficacy,3
ZNF565,Efficacy,3
ELP5,Efficacy,3
CDH23,Efficacy,3
ARHGAP12,Efficacy,3
PIGM,Efficacy,3
CHURC1,Efficacy,3
TRIB3,Efficacy,3
CMTM8,Efficacy,3
PDIA2,Efficacy,3
OPCML,Efficacy,3
ETFDH,Efficacy,3
NFIB,Efficacy,3
ARHGEF28,Efficacy,3
SENP3,Efficacy,3
ESYT2,Efficacy,3
RRP7A,Efficacy,3
HTT,Efficacy,3
FARP2,Efficacy,3
PURA,Efficacy,3
ZNF385D,Efficacy,3
SKIC3,Efficacy,3
TREML4,Efficacy,3
INVS,Efficacy,3
TEX10,Efficacy,3
FCN2,Efficacy,3
ANO2,Efficacy,3
ATP10A,Efficacy,3
MIEF2,Efficacy,3
AGTR1,Metabolism/PK,3
BDKRB2,Metabolism/PK,3
UGT1A6,Efficacy,3
CYP3A7,Metabolism/PK,3
CYP2J2,Toxicity,3
CYP2C8,Metabolism/PK,3
PPARA,Toxicity,3
MDGA2,Toxicity,3
CALU,Dosage,3
VKORC1,Other,3
OPRM1,Metabolism/PK,3
HMGCS2,Toxicity,3
CFTR,Efficacy,3
KLB,Dosage,3
IRS1,Toxicity,3
GNL3,Toxicity,3
HMMR,Toxicity,3
PERP,Toxicity,3
PPP2R5D,Toxicity,3
TP53AIP1,Toxicity,3
NOS1,Toxicity,3
FOXO1,Toxicity,3
CCNK,Toxicity,3
TP53,Toxicity,3
TOP2A,Toxicity,3
INSR,Toxicity,3
PIK3R2,Toxicity,3
CBR3,Toxicity,3
RBX1,Toxicity,3
CPA6,Efficacy,3
PRPF31,Efficacy,3
NELFCD,Efficacy,3
TPMT,"Dosage,Toxicity",3
HSP90AB1,Toxicity,3
PRKCA,Toxicity,3
ITPA,"Dosage,Toxicity",3
ABCG2,"Efficacy,Toxicity",3
POLR2A,Toxicity,3
UGT1A1,Dosage,3
SLC31A1,"Efficacy,Toxicity",3
UGT1A3,Metabolism/PK,3
ABCC9,Metabolism/PK,3
EYS,Toxicity,3
NQO2,Efficacy,3
ALDH1A1,Efficacy,3
SULT1A3,Metabolism/PK,3
"SULT1A3,SULT1A4",Metabolism/PK,3
IRF6,Toxicity,3
BARD1,Efficacy,3
ERBB3,Efficacy,3
RNF8,Efficacy,3
ERBB2,Efficacy,3
ATF2,Efficacy,3
IL17A,Dosage,3
TOLLIP,Efficacy,3
SLC22A16,"Efficacy,Toxicity",3
ATM,Toxicity,3
ALDH3A1,Toxicity,3
CBR1,Toxicity,3
XRCC1,Toxicity,3
SAMHD1,Toxicity,3
KIF6,Efficacy,3
RASSF1,Efficacy,3
KMT2E,Efficacy,3
NCAM1,Efficacy,3
ITPA,"Efficacy,Toxicity",3
MTR,"Efficacy,Toxicity",3
MDM2,Efficacy,3
PIN1,Efficacy,3
XRCC1,Efficacy,3
MMP3,Efficacy,3
"UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9",Metabolism/PK,3
CYP3A5,"Efficacy,Metabolism/PK",3
IL1B,"Dosage,Efficacy",3
UGT2A1,Toxicity,3
ABCB4,Efficacy,3
CHST1,Toxicity,3
NQO1,Efficacy,3
CYP2F1,Toxicity,3
SLC19A1,Toxicity,3
TRPV1,Efficacy,3
TH,Efficacy,3
BLMH,Toxicity,3
NTNG1,Efficacy,3
GREM2,Efficacy,3
MYT1L,Efficacy,3
TRIB2,Efficacy,3
TBL1XR1,Efficacy,3
PKD2,Efficacy,3
TAOK3,"Dosage,Efficacy",3
KCNJ11,Toxicity,3
CFHR4,Toxicity,3
"ABCC8,KCNJ11",Efficacy,3
OPRM1,Dosage,3
CHRNA4,Toxicity,3
OPRK1,Toxicity,3
GAL,Toxicity,3
CSNK1E,Toxicity,3
CRHBP,Toxicity,3
"ANKK1,DRD2",Toxicity,3
CYP2A13,Toxicity,3
CYP2A6,Toxicity,3
HYKK,Efficacy,3
GABRA2,Toxicity,3
SLC18A2,Efficacy,3
PPARG,Efficacy,3
PPA2,Efficacy,3
TJP1,Efficacy,3
ATP1A2,Efficacy,3
SPOPL,Efficacy,3
TNFRSF11A,Efficacy,3
"MIR582,PDE4D",Efficacy,3
RPTOR,"Efficacy,Toxicity",3
"ANKK1,DRD2",Efficacy,3
CYP4A11,Efficacy,3
OPRD1,Toxicity,3
HINT1,Other,3
HINT1,Efficacy,3
CHRNA3,Dosage,3
"CHRNA3,CHRNA5","Dosage,Efficacy",3
KAT2B,Toxicity,3
UGT2B15,Metabolism/PK,3
SLC6A3,Other,3
ACSS2,Toxicity,3
"HTT,MSANTD1",Efficacy,3
"UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9",Efficacy,3
HRH4,Efficacy,3
"NTRK1,PEAR1",Efficacy,3
TAOK3,Efficacy,3
TAOK3,Dosage,3
CHRNA3,Efficacy,3
"BDNF,BDNF-AS",Other,3
XIRP2,Efficacy,3
TXNDC11,Efficacy,3
PIP5K1C,Toxicity,3
PNPLA3,Toxicity,3
"GNB3,P3H3",Efficacy,3
GC,Efficacy,3
"SH3BP2,TNFAIP3",Efficacy,3
MAP2K4,Toxicity,3
ADGRL3,Toxicity,3
SLC22A1,"Efficacy,Toxicity,Metabolism/PK",3
CYP1A2,Dosage,3
ABCG2,Dosage,3
"ABCB1,RUNDC3B",Dosage,3
SCN4A,Efficacy,3
"GLA,HNRNPH2",Efficacy,3
GLA,Efficacy,3
NUDT15,Toxicity,3
P2RX7,Dosage,3
SULT1A1,Metabolism/PK,3
"NPIPB8,SULT1A1",Metabolism/PK,3
SULT1A1,Toxicity,3
SULT1A1,Efficacy,3
AQP1,Toxicity,3
SRPRB,Metabolism/PK,3
ADH1A,Metabolism/PK,3
UGT1A8,Other,3
KL,Efficacy,3
HSD3B1,Efficacy,3
"KLC1,XRCC3",Efficacy,3
NOS2,Toxicity,3
SLC15A2,Efficacy,3
PLIN1,Toxicity,3
CCL11,Toxicity,3
MYD88,Toxicity,3
ALDH1L1,Efficacy,3
CACNA1E,Dosage,3
SLC22A2,Toxicity,3
PAH,Metabolism/PK,3
SLC25A31,Efficacy,3
ZMAT4,Efficacy,3
APOE,Efficacy,3
RGL4,Metabolism/PK,3
ICA1,Metabolism/PK,3
HCN1,Metabolism/PK,3
RFPL4B,Metabolism/PK,3
PGM1,Metabolism/PK,3
CALCA,Efficacy,3
UGT1A1,Metabolism/PK,3
SLC4A1,Efficacy,3
SYT1,Toxicity,3
RABGAP1L,Toxicity,3
SORCS2,Metabolism/PK,3
APOB,Toxicity,3
NUCB2,Efficacy,3
RRP1B,Efficacy,3
SH2B3,Efficacy,3
C5ORF56,Efficacy,3
KCNK3,Efficacy,3
CSK,Efficacy,3
PDE3A,Efficacy,3
SULT1C3,Efficacy,3
STN1,Efficacy,3
TBX2,Efficacy,3
PLCE1,Efficacy,3
ADO,Efficacy,3
PRKAG2,Efficacy,3
"DOT1L,PLEKHJ1",Efficacy,3
MCOLN1,Toxicity,3
PPCDC,Toxicity,3
"CHRNA3,CHRNA5",Toxicity,3
BST1,Efficacy,3
DGKB,Toxicity,3
ANKS1B,Toxicity,3
PDYN,Toxicity,3
C6ORF15,Toxicity,3
SERPINC1,Toxicity,3
ATAT1,Toxicity,3
PPP1R18,Toxicity,3
"CDSN,PSORS1C1",Toxicity,3
MUCL3,Toxicity,3
HCP5,Toxicity,3
PRRC2A,Toxicity,3
MSH5,Toxicity,3
DOCK8,Toxicity,3
SERPINA5,Toxicity,3
XYLT2,Toxicity,3
ETS2,Toxicity,3
CYP24A1,Toxicity,3
CYP27B1,Toxicity,3
MOBP,Efficacy,3
HRH1,Toxicity,3
OTOS,Toxicity,3
ABCC3,Toxicity,3
SLC16A5,Toxicity,3
RELA,Toxicity,3
IKBKB,Efficacy,3
IKBKE,Toxicity,3
NFKBIA,Toxicity,3
IKBKB,Toxicity,3
"NFKBIB,SIRT2",Toxicity,3
NR1H2,Toxicity,3
TAB2,Toxicity,3
CYP3A5,Dosage,3
FAAH,Other,3
ADGRV1,Toxicity,3
GAD1,Dosage,3
OPRD1,Dosage,3
OPRD1,Metabolism/PK,3
OPRK1,Dosage,3
CRYBG2,Toxicity,3
CLCC1,Toxicity,3
POM121L2,Toxicity,3
ZNF165,Toxicity,3
MUC16,Toxicity,3
PDE3A,Toxicity,3
ZNF568,Toxicity,3
ABCC3,Other,3
TH,Toxicity,3
"COMT,TXNRD2",Efficacy,3
SLC6A4,Dosage,3
PDE4B,Toxicity,3
GCKR,Toxicity,3
THSD7B,Toxicity,3
CADM2,Toxicity,3
ADH1B,Toxicity,3
ADH1C,Toxicity,3
SLC39A8,Toxicity,3
DPP6,Toxicity,3
"MED19,TMX2",Toxicity,3
SLC4A8,Toxicity,3
ARID4A,Toxicity,3
TNRC6A,Toxicity,3
FUT2,Toxicity,3
CYP2D6,Dosage,3
PNOC,Toxicity,3
"CYP2A7P1,CYP2B6",Toxicity,3
SLC28A2,Efficacy,3
"HTR7,RPP30",Efficacy,3
HTR7,Efficacy,3
TP53,Efficacy,3
"TMEM43,XPC",Toxicity,3
VKORC1,Toxicity,3
LPA,Efficacy,3
EPHX1,Metabolism/PK,3
ITPA,Dosage,3
SCN1A,Efficacy,3
CHRNB2,"Efficacy,Toxicity",3
SOD2,Efficacy,3
FLT3,Toxicity,3
DYNC2H1,Efficacy,3
GSTM1,Efficacy,3
EPHA7,Toxicity,3
STAT6,Efficacy,3
HTR2C,Efficacy,3
NT5C2,Metabolism/PK,3
COL22A1,Efficacy,3
SLCO1C1,Efficacy,3
CRTC2,Toxicity,3
HAS3,Toxicity,3
SLC28A3,Toxicity,3
SEMA3C,Toxicity,3
SCN1A,Dosage,3
C8ORF34,Toxicity,3
COMT,Dosage,3
ALDH2,Metabolism/PK,3
CFTR,Toxicity,3
GP1BA,Efficacy,3
LPA,Toxicity,3
EGF,Efficacy,3
MC4R,Toxicity,3
LTC4S,Toxicity,3
CHRNA3,"Efficacy,Toxicity",3
YEATS4,Efficacy,3
APOC3,Metabolism/PK,3
APOA5,Efficacy,3
EPHA5,Toxicity,3
HSPA5,Efficacy,3
SLCO1B3,Metabolism/PK,3
CES1,Dosage,3
"C18ORF56,TYMS",Efficacy,3
ALDH2,Other,3
RYR1,Toxicity,3
VKORC1,"Dosage,Efficacy",3
CNR1,Dosage,3
TPH2,Dosage,3
OPRL1,Dosage,3
NFIB,Metabolism/PK,3
NECTIN4,Toxicity,3
NECTIN4,Dosage,3
NECTIN4,Metabolism/PK,3
NFKBIA,Dosage,3
DLG2,Efficacy,3
STRBP,Efficacy,3
PYROXD2,Efficacy,3
SLC7A5,Efficacy,3
SLC7A5,Dosage,3
MC4R,Efficacy,3
CFTR,Other,3
BDNF-AS,Toxicity,3
GABRB3,Toxicity,3
TACR1,Toxicity,3
ZNF804A,Toxicity,3
EXOC4,Toxicity,3
TACR3,Toxicity,3
SLCO1A2,Dosage,3
"IAPP,SLCO1A2",Dosage,3
OPRK1,Efficacy,3
MTOR,Efficacy,3
MICA,Efficacy,3
KCNMA1,Toxicity,3
ADORA2A-AS1,Efficacy,3
"APEX1,OSGEP",Efficacy,3
MUTYH,Efficacy,3
"MT-ND1,MT-RNR1",Toxicity,3
MT-RNR1,Toxicity,3
PACSIN2,Efficacy,3
NUDT15,Dosage,3
ARID5B,Toxicity,3
MTHFD1,Efficacy,3
"ERCC1,POLR1G,PPP1R13L",Toxicity,3
SOD2,Other,3
ADRB2,PD,3
ARHGAP28,Toxicity,3
GGH,Metabolism/PK,3
SLC19A1,Metabolism/PK,3
CNIH3,Toxicity,3
"ENOSF1,TYMS",Toxicity,3
"ENOSF1,TYMS",Efficacy,3
TLR2,Dosage,3
"CYP2A7P1,CYP2B6",Metabolism/PK,3
ASTN2,Dosage,3
SCN2A,Efficacy,3
CYP2C8,Efficacy,3
GSTP1,Metabolism/PK,3
GLP1R,Toxicity,3
NQO1,Toxicity,3
AKR1C3,Efficacy,3
AKR1C3,Other,3
FPGS,Metabolism/PK,3
CCND1,Toxicity,3
MTHFD1,Toxicity,3
MTRR,Toxicity,3
WBP2NL,Toxicity,3
FIP1L1,Toxicity,3
"SEPTIN3,WBP2NL",Toxicity,3
SERINC5,Toxicity,3
DRD1,Dosage,3
ADAMTSL2,Efficacy,3
ADH1B,Efficacy,3
ALDH2,Efficacy,3
EYA1,Toxicity,3
"CYP2A7P1,CYP2B6",Efficacy,3
DAO,Metabolism/PK,3
DAO,Dosage,3
DAO,Efficacy,3
SRD5A2,Efficacy,3
"DSE,TSPYL1",Efficacy,3
MTHFR,Metabolism/PK,3
"INSRR,NTRK1",Toxicity,3
GATA3,Toxicity,3
"JMJD8,WDR24",Efficacy,3
EFR3A,Efficacy,3
NECAB1,Efficacy,3
AGAP3,Efficacy,3
ECHS1,Efficacy,3
MYOM2,Efficacy,3
TPMT,Dosage,3
TPMT,Metabolism/PK,3
AHRR,Efficacy,3
CYP2A6,Dosage,3
N6AMT1,Efficacy,3
GRK4,Toxicity,3
PIK3R5,Toxicity,3
VEGFB,Toxicity,3
EPAS1,Toxicity,3
ADAMTS18,Toxicity,3
MAP2K6,Toxicity,3
CDH13,Toxicity,3
WWOX,Toxicity,3
CAMK1D,Efficacy,3
"FASTKD3,MTRR",Efficacy,3
"FASTKD3,MTRR",Other,3
GABRA2,Other,3
KCNK3,Other,3
"CYP2E1,DUX1",Other,3
CYP2E1,Other,3
KCNK2,Efficacy,3
GRIN2B,Other,3
ITPA,Efficacy,3
ZDHHC3,Efficacy,3
CALM1,Efficacy,3
CEP72,Toxicity,3
CALCA,Dosage,3
PPARD,Toxicity,3
MIR27A,Toxicity,3
NAT2,Efficacy,3
NAT2,Metabolism/PK,3
ABCC4,Metabolism/PK,3
"IFNL3,IFNL4",Metabolism/PK,3
AADAC,Metabolism/PK,3
"MED4,NUDT15",Dosage,3
MEG3,Toxicity,3
XPNPEP2,Toxicity,3
FSHR,Dosage,3
HTR1B,PD,3
IL7,Toxicity,3
"CYP3A5,ZSCAN25",Toxicity,3
KCNAB1,Toxicity,3
"DDRGK1,ITPA",Efficacy,3
"LST1,LTA,TNF",Efficacy,3
ACYP2,Toxicity,3
GATA4,Efficacy,3
SLCO2A1,Toxicity,3
MAP3K5,Efficacy,3
RARG,Toxicity,3
SLIT1,Toxicity,3
CTH,Toxicity,3
"KRTAP10-4,TSPEAR",Efficacy,3
CYP7A1,Efficacy,3
GLP1R,Efficacy,3
CYP3A5,Other,4
MTHFR,Toxicity,4
ABCB1,Efficacy,4
XRCC1,"Efficacy,Toxicity",4
CYP2C8,Dosage,4
CYP2C8,Toxicity,4
CYP1A2,Toxicity,4
EPHX1,Dosage,4
CLOCK,Toxicity,4
IMPDH2,"Efficacy,Toxicity",4
UGT1A9,Efficacy,4
GNB3,Efficacy,4
SCAP,Other,4
CYP3A4,Efficacy,4
FABP1,Efficacy,4
BDNF,Toxicity,4
RRM1,Efficacy,4
ADRB2,Efficacy,4
VEGFA,Efficacy,4
CYP2D6,Other,4
G6PD,Toxicity,4
RAD52,Toxicity,4
UGT1A9,Toxicity,4
SCN2A,Efficacy,4
ABCC2,Efficacy,4
HTR3B,Toxicity,4
ABCC2,Toxicity,4
,Efficacy,4
ADCY2,Efficacy,4
CYP3A5,Toxicity,4
CYP2C19,Metabolism/PK,4
IMPDH2,Efficacy,4
PON1,"Efficacy,Toxicity",4
P2RY12,"Efficacy,Toxicity",4
GSTT1,Toxicity,4
UGT2B7,Other,4
GSTM1,Toxicity,4
CETP,"Efficacy,Toxicity",4
CETP,Efficacy,4
CYP2A6,Other,4
CFH,Efficacy,4
ABCG2,Toxicity,4
HTRA1,Efficacy,4
UGT2B7,Metabolism/PK,4
CYP2D6,Efficacy,4
DRD2,Efficacy,4
IMPDH1,Toxicity,4
TSPAN5,Other,4
GATM,Toxicity,4
NTRK2,Efficacy,4
FMO3,Toxicity,4
HNMT,Toxicity,4
,Toxicity,4
UGT1A6,Toxicity,4
ADH7,Toxicity,4
SLC22A2,Toxicity,4
ABCB4,Toxicity,4
ABCB1,Toxicity,4
SLC28A3,Toxicity,4
SLC10A2,Toxicity,4
SLC28A1,Toxicity,4
ABCC1,Toxicity,4
SPG7,Toxicity,4
CYP4F2,Toxicity,4
SULT2B1,Toxicity,4
HNF4A,"Efficacy,Metabolism/PK",4
ERCC2,Toxicity,4
TNFAIP3,Efficacy,4
ABCB1,Metabolism/PK,4
ABCB1,"Dosage,Metabolism/PK",4
FCGR2A,Efficacy,4
SLCO1B1,Toxicity,4
ABCG2,Efficacy,4
IL6R,Efficacy,4
CYP3A4,Metabolism/PK,4
CYP2B6,Metabolism/PK,4
P2RY12,Efficacy,4
IL10,Metabolism/PK,4
CRHR2,Efficacy,4
HNF4A,Metabolism/PK,4
SLCO1B1,Metabolism/PK,4
CYP3A5,Metabolism/PK,4
SCN1A,Efficacy,4
ABCB1,Other,4
HLA-B,Toxicity,4
KCNIP4,Toxicity,4
CYP2B6,Toxicity,4
OPRD1,Efficacy,4
PSORS1C1,Toxicity,4
NR1I3,Dosage,4
GGCX,Dosage,4
BDNF,Efficacy,4
SLC29A3,Efficacy,4
PTPRM,Efficacy,4
ABCB1,Dosage,4
CYP3A5,Efficacy,4
AMPD1,"Efficacy,Toxicity",4
ERCC2,"Efficacy,Toxicity",4
SLC22A6,Other,4
ACE,Efficacy,4
SLC6A2,Efficacy,4
OPRM1,Toxicity,4
COMT,Efficacy,4
BDNF,Other,4
CYP2E1,Toxicity,4
CYP4F2,Other,4
CYP2C19,Toxicity,4
UGT2B7,Dosage,4
LRP2,Toxicity,4
TPH1,Efficacy,4
UGT1A1,Metabolism/PK,4
CYP2B6,Dosage,4
CYP2C9,Metabolism/PK,4
CYP2C19,Efficacy,4
GSTP1,Efficacy,4
ADRA2A,Efficacy,4
POR,Toxicity,4
ERCC1,Efficacy,4
OPRM1,Efficacy,4
CYP2C9,Efficacy,4
ITPA,Toxicity,4
ITGB3,Efficacy,4
TNF,Efficacy,4
CYP2D6,Metabolism/PK,4
DPYD,Efficacy,4
CFTR,Efficacy,4
SLCO1B1,Efficacy,4
ADRB1,Efficacy,4
CYP2C8,Efficacy,4
COMT,Dosage,4
OPRM1,Metabolism/PK,4
CYP2D6,Toxicity,4
MTHFR,Dosage,4
UGT1A1,Toxicity,4
SLC19A1,Efficacy,4
MTHFR,Efficacy,4
"C18ORF56,TYMS",Metabolism/PK,4
SLC19A1,Toxicity,4
VKORC1,Dosage,4
TYMS,Toxicity,4
NQO1,Dosage,4
OPRM1,Dosage,4
ABCG2,Metabolism/PK,4
ABCC2,Metabolism/PK,4
SLC19A1,Metabolism/PK,4
MTR,Toxicity,4
"FASTKD3,MTRR",Toxicity,4
COMT,Toxicity,4
GRK5,Efficacy,4
HLA-A,Toxicity,4
CYP3A4,Dosage,4
HTR2A,Efficacy,4
SLC6A4,Efficacy,4
HTR2A,Toxicity,4
SLC6A4,Toxicity,4
BDKRB2,Toxicity,4
ATIC,Efficacy,4
ABCC4,Metabolism/PK,4
ABCC4,Toxicity,4
"CYP2A7P1,CYP2B6",Toxicity,4
"ATM,C11ORF65",Efficacy,4
"ANKK1,DRD2",Efficacy,4
GLP1R,Efficacy,4
"CTRB1,CTRB2",Efficacy,4
